Drug_ID,Drug_Name,Description
DD1,Abacavir,Used along with other medications to treat human immunodeficiency virus (HIV) infection
,Abaloparatide,
,Abametapir (topical),
,Abarelix,
,Abatacept,
,Abciximab,
,Abemaciclib,
,Abiraterone,
,Acalabrutinib,
,Acamprosate,
,Acarbose,
,Acebutolol,
,Acenocoumarol,
,Acetaminophen,
,Acetazolamide,
,Acetohexamide,
,Acetohydroxamic acid,
,Acetylcholine,
,Acetylcysteine,
,Acetylsalicylic acid,
,Acitretin,
,Aclidinium,
,Acrivastine,
,Activated charcoal,
,Acyclovir,
,Acyclovir (topical),
,Adalimumab,
,Adapalene,
,Adapalene (topical),
,Adefovir dipivoxil,
,Adenosine,
,Afatinib,
,Aflibercept,
,Agalsidase beta,
,Albendazole,
,Albiglutide,
,Alclometasone (topical),
,Aldesleukin,
,Alectinib,
,Alefacept,
,Alemtuzumab,
,Alendronic acid,
,Alfentanil,
,Alfuzosin,
,Alimemazine,
,Aliskiren,
,Alitretinoin (topical),
,Allopurinol,
,Almotriptan,
,Aloe Vera Leaf,
,Alogliptin,
,Alosetron,
,Alpelisib,
,Alprazolam,
,Alprostadil,
,Alteplase,
,Altretamine,
,Aluminum hydroxide,
,Alvimopan,
,Amantadine,
,Ambenonium,
,Ambrisentan,
,Amcinonide,
,Amifampridine,
,Amifostine,
,Amikacin,
,Amikacin (liposome),
,Amiloride,
,Aminobenzoic acid,
,Aminocaproic acid,
,Aminoglutethimide,
,Aminolevulinic acid,
,Aminolevulinic acid (topical),
,Aminophylline,
,Aminosalicylic acid,
,Amiodarone,
,Amisulpride,
,Amitriptyline,
,Amlodipine,
,Ammonium chloride,
,Amobarbital,
,Amoxapine,
,Amoxapine,
,Amphetamine,
,Amphotericin B,
,Amphotericin B (cholesteryl sulfate),
,Amphotericin B (lipid complex),
,Amphotericin B (liposomal),
,Ampicillin,
,Amprenavir,
,Amrinone,
,Amyl Nitrite,
,Anagrelide,
,Anakinra,
,Anastrozole,
,Angiotensin II,
